event_hour,event_date,hour_of_day,pv_events,uv,favorite_users,cart_users,purchase_users,purchase_conversion_rate
2017-11-25 00:00:00,2017-11-25,0,310286,55587,5878,10578,4106,0.07386619173547772
2017-11-25 01:00:00,2017-11-25,1,142946,25474,2732,4985,1702,0.0668132213237026
2017-11-25 02:00:00,2017-11-25,2,77045,13673,1458,2747,933,0.06823667081108754
2017-11-25 03:00:00,2017-11-25,3,53035,9407,890,1893,564,0.05995535239715106
2017-11-25 04:00:00,2017-11-25,4,45876,8500,823,1726,454,0.05341176470588235
2017-11-25 05:00:00,2017-11-25,5,59646,12143,1066,2317,622,0.051222926789096596
2017-11-25 06:00:00,2017-11-25,6,129072,28763,2362,5321,1451,0.05044675451100372
2017-11-25 07:00:00,2017-11-25,7,246612,57243,4826,10327,3265,0.057037541708156454
2017-11-25 08:00:00,2017-11-25,8,321406,76008,6552,12908,5364,0.07057151878749605
2017-11-25 09:00:00,2017-11-25,9,378673,90201,7619,15227,7551,0.08371304087537833
2017-11-25 10:00:00,2017-11-25,10,437162,104129,8906,17589,9836,0.09445975664800392
2017-11-25 11:00:00,2017-11-25,11,432650,105900,8840,17377,9863,0.09313503305004721
2017-11-25 12:00:00,2017-11-25,12,424641,104706,8709,16724,9182,0.08769315989532596
2017-11-25 13:00:00,2017-11-25,13,470975,109040,9213,18023,9800,0.08987527512839324
2017-11-25 14:00:00,2017-11-25,14,479024,108267,9201,18093,9807,0.09058161766743329
2017-11-25 15:00:00,2017-11-25,15,503131,110083,9548,18915,9834,0.08933259449687962
2017-11-25 16:00:00,2017-11-25,16,496660,111171,9570,18942,9374,0.08432055122289087
2017-11-25 17:00:00,2017-11-25,17,460084,107103,9136,17993,8252,0.07704732827278414
2017-11-25 18:00:00,2017-11-25,18,464335,105664,8569,17557,7864,0.07442459115687462
2017-11-25 19:00:00,2017-11-25,19,573539,118950,10053,20673,9200,0.0773434216057167
2017-11-25 20:00:00,2017-11-25,20,699757,134158,11766,25353,10731,0.07998777560786535
2017-11-25 21:00:00,2017-11-25,21,780600,143758,13310,28918,11380,0.07916081192003227
2017-11-25 22:00:00,2017-11-25,22,767320,136187,13449,29045,10877,0.07986812250802205
2017-11-25 23:00:00,2017-11-25,23,598941,103120,11064,23951,7660,0.07428238944918542
2017-11-26 00:00:00,2017-11-26,0,347271,59231,6580,12237,4057,0.06849453833296754
2017-11-26 01:00:00,2017-11-26,1,168214,28730,3272,5794,1844,0.0641837800208841
2017-11-26 02:00:00,2017-11-26,2,88457,15312,1703,3172,946,0.0617816091954023
2017-11-26 03:00:00,2017-11-26,3,56032,10051,1055,2085,627,0.062381852551984876
2017-11-26 04:00:00,2017-11-26,4,47951,8508,860,1790,513,0.06029619181946404
2017-11-26 05:00:00,2017-11-26,5,59097,11660,1090,2274,589,0.05051457975986278
2017-11-26 06:00:00,2017-11-26,6,122114,26362,2188,5020,1287,0.04882027160306502
2017-11-26 07:00:00,2017-11-26,7,257216,56116,4947,10617,3188,0.05681089172428541
2017-11-26 08:00:00,2017-11-26,8,339982,77397,6778,13609,5275,0.06815509645076682
2017-11-26 09:00:00,2017-11-26,9,401045,92822,8149,15932,7646,0.08237271336536597
2017-11-26 10:00:00,2017-11-26,10,456659,106433,9279,18260,9612,0.0903103360799752
2017-11-26 11:00:00,2017-11-26,11,449915,109129,9397,18235,9901,0.0907274876522281
2017-11-26 12:00:00,2017-11-26,12,426473,104883,8714,16849,9323,0.08888952451779603
2017-11-26 13:00:00,2017-11-26,13,463051,108650,8969,18035,9681,0.08910262310170272
2017-11-26 14:00:00,2017-11-26,14,483590,109457,9165,18577,9814,0.08966078003234147
2017-11-26 15:00:00,2017-11-26,15,499201,110919,9591,19075,9843,0.0887404322072864
2017-11-26 16:00:00,2017-11-26,16,501617,112302,9505,19374,9749,0.08681056437107086
2017-11-26 17:00:00,2017-11-26,17,458692,107588,8953,18336,8636,0.08026917500092948
2017-11-26 18:00:00,2017-11-26,18,463370,107855,8806,17781,8361,0.07752074544527375
2017-11-26 19:00:00,2017-11-26,19,582673,122410,10055,21666,9765,0.07977289437137489
2017-11-26 20:00:00,2017-11-26,20,710396,139171,12057,26583,11440,0.08220103326123977
2017-11-26 21:00:00,2017-11-26,21,812270,149981,13585,30842,12115,0.08077689840713156
2017-11-26 22:00:00,2017-11-26,22,788181,139791,13646,31032,11269,0.08061320113598157
2017-11-26 23:00:00,2017-11-26,23,583955,100681,10912,24051,7731,0.0767870799853001
2017-11-27 00:00:00,2017-11-27,0,332328,56916,6027,11458,7826,0.13750087848759576
2017-11-27 01:00:00,2017-11-27,1,144854,24538,2731,5079,1965,0.08007987611052246
2017-11-27 02:00:00,2017-11-27,2,77604,13251,1438,2695,944,0.07123990642215682
2017-11-27 03:00:00,2017-11-27,3,54023,9422,994,1841,657,0.06973041817023987
2017-11-27 04:00:00,2017-11-27,4,45597,8274,848,1593,561,0.0678027556200145
2017-11-27 05:00:00,2017-11-27,5,59186,12288,1058,2260,725,0.059000651041666664
2017-11-27 06:00:00,2017-11-27,6,128114,31438,2528,5343,1946,0.06189961193460144
