cohort_date,activity_date,day_number,cohort_users,retained_users,retention_rate
2017-11-25,2017-11-25,0,706641,706641,1.0
2017-11-25,2017-11-26,1,706641,557328,0.7887003443049583
2017-11-25,2017-11-27,2,706641,542838,0.7681948825499794
2017-11-25,2017-11-28,3,706641,536463,0.759173328465232
2017-11-25,2017-11-29,4,706641,537610,0.7607965006276172
2017-11-25,2017-11-30,5,706641,541422,0.7661910361838614
2017-11-25,2017-12-01,6,706641,546087,0.7727926910552884
2017-11-25,2017-12-02,7,706641,696406,0.9855159833635467
2017-11-25,2017-12-03,8,706641,694326,0.9825724802268762
2017-11-26,2017-11-26,0,158188,158188,1.0
2017-11-26,2017-11-27,1,158188,103431,0.6538485852277037
2017-11-26,2017-11-28,2,158188,102183,0.6459592383745922
2017-11-26,2017-11-29,3,158188,104190,0.658646673578274
2017-11-26,2017-11-30,4,158188,105830,0.6690140845070423
2017-11-26,2017-12-01,5,158188,108478,0.6857536602017852
2017-11-26,2017-12-02,6,158188,154681,0.9778301767517131
2017-11-26,2017-12-03,7,158188,154003,0.9735441373555517
2017-11-27,2017-11-27,0,63825,63825,1.0
2017-11-27,2017-11-28,1,63825,39280,0.6154328241284763
2017-11-27,2017-11-29,2,63825,39825,0.6239717978848414
2017-11-27,2017-11-30,3,63825,41082,0.6436662749706228
2017-11-27,2017-12-01,4,63825,42336,0.6633137485311399
2017-11-27,2017-12-02,5,63825,62021,0.9717352134743439
2017-11-27,2017-12-03,6,63825,61690,0.9665491578535057
2017-11-28,2017-11-28,0,31331,31331,1.0
2017-11-28,2017-11-29,1,31331,19366,0.6181098592448374
2017-11-28,2017-11-30,2,31331,19950,0.6367495451788963
2017-11-28,2017-12-01,3,31331,20805,0.664038811400849
2017-11-28,2017-12-02,4,31331,30341,0.9684019022693179
2017-11-28,2017-12-03,5,31331,30149,0.9622737863457917
2017-11-29,2017-11-29,0,17931,17931,1.0
2017-11-29,2017-11-30,1,17931,12512,0.697785957280687
2017-11-29,2017-12-01,2,17931,12905,0.7197033071217445
2017-11-29,2017-12-02,3,17931,17315,0.9656460877809381
2017-11-29,2017-12-03,4,17931,17217,0.9601806926551781
2017-11-30,2017-11-30,0,9801,9801,1.0
2017-11-30,2017-12-01,1,9801,9273,0.9461279461279462
2017-11-30,2017-12-02,2,9801,9389,0.9579634731149883
2017-11-30,2017-12-03,3,9801,9341,0.9530660136720743
2017-12-01,2017-12-01,0,255,255,1.0
2017-12-01,2017-12-02,1,255,230,0.9019607843137255
2017-12-01,2017-12-03,2,255,237,0.9294117647058824
2017-12-02,2017-12-02,0,18,18,1.0
2017-12-02,2017-12-03,1,18,13,0.7222222222222222
2017-12-03,2017-12-03,0,1,1,1.0
